类名称:com.example.springbootTest.controller.TestController
方法名:test
执行时间:38毫秒
2018-11-23 10:43:12 2914 [main] INFO  c.e.s.SpingbootTestApplication - Starting SpingbootTestApplication on XHCBT83Q10RRQ1S with PID 11436 (D:\J2EE_Workspace\springbootTest\target\classes started by lss0555 in D:\J2EE_Workspace\springbootTest)
2018-11-23 10:43:12 2923 [main] INFO  c.e.s.SpingbootTestApplication - The following profiles are active: pro
2018-11-23 10:43:30 20817 [main] INFO  c.e.s.SpingbootTestApplication - Started SpingbootTestApplication in 20.021 seconds (JVM running for 21.541)
2018-11-23 10:44:14 65071 [http-nio-8085-exec-1] INFO  c.e.s.controller.TestController - 测试info
2018-11-23 10:44:57 3076 [main] INFO  c.e.s.SpingbootTestApplication - Starting SpingbootTestApplication on XHCBT83Q10RRQ1S with PID 7580 (D:\J2EE_Workspace\springbootTest\target\classes started by lss0555 in D:\J2EE_Workspace\springbootTest)
2018-11-23 10:44:57 3086 [main] INFO  c.e.s.SpingbootTestApplication - The following profiles are active: pro
2018-11-23 10:45:19 25199 [main] INFO  c.e.s.SpingbootTestApplication - Started SpingbootTestApplication in 24.486 seconds (JVM running for 25.847)
2018-11-23 10:45:55 61397 [http-nio-8085-exec-10] INFO  c.e.s.controller.TestController - 测试info
2018-11-23 10:45:58 64265 [http-nio-8085-exec-9] INFO  c.e.s.controller.TestController - 测试info
